Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
Random Forest,0.759847409510291,0.8081720804387598,0.4987380472187907,0.5134753980635199,0.7172521035754116
1-D CNN,0.747959545777147,0.7521982688571304,0.5002325620291896,0.502024466817694,0.7142675852529903
