Model,TPR (Detection rate),FPR (False alarms),Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC
Isolation Forest,0.4981911232683314,0.11,0.6742700286644319,0.8473024686726195,0.4981911232683314,0.627455338538049,0.8216921868926192,0.8056529449022145
Autoencoder,0.7326391952704492,0.08454054054054054,0.8147986202205704,0.9139240506329114,0.7326391952704492,0.8133019884415712,0.9027625440891346,0.9275283001658275
