Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
TF-IDF + Logistic Regression,0.99,0.9821648216482165,0.998125,0.9900805951642901,0.999444921875
Embedding + LSTM,0.9853125,0.9838006230529595,0.986875,0.9853354134165366,0.997441796875
