Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC
Gradient Boosting (per event),0.9587488048080863,0.8244837758112095,0.9458544839255499,0.8810086682427108,0.9918481159401117,0.9550130566841731
LSTM (event windows),0.9993174061433447,0.9957983193277311,1.0,0.9978947368421053,1.0,1.0
